question,solution,grade,math_topic,standard,substandard
Tom started his hike in Yellowstone National Park at 9:45 a.m. and finished at 12:10 p.m. How many hours and minutes did he spend hiking?,"To find out how many hours and minutes Tom spent hiking, we need to determine the elapsed time from the starting time to the ending time.
The starting time is 9:45 a.m. and the ending time is 12:10 p.m.
First, let's find the elapsed time in hours. From 9:45 a.m. to 12:00 p.m. is 2 hours and 15 minutes. Then, from 12:00 p.m. to 12:10 p.m. is 10 minutes.
So, the total elapsed time is 2 hours and 25 minutes.
The final answer is 2 hours 25 minutes.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started his homework at 4:00 p.m. and finished at 6:45 p.m. How many hours and minutes did he work on his homework?,"To find out how many hours and minutes Tom worked on his homework, we need to determine the elapsed time between 4:00 p.m. and 6:45 p.m.
The time Tom started his homework is 4:00 p.m. and the time he finished is 6:45 p.m.
To find the elapsed time, we subtract the starting time from the ending time. 
From 4:00 p.m. to 6:00 p.m. is 2 hours. 
Then, from 6:00 p.m. to 6:45 p.m. is 45 minutes. 
So, the total elapsed time is 2 hours and 45 minutes.
The final answer is 2 hours and 45 minutes.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started his road trip at 9:00 a.m. and arrived at his destination at 2:00 p.m. How many hours did Tom's road trip take?,"To find out how many hours Tom's road trip took, we need to find the difference between the starting time (9:00 a.m.) and the ending time (2:00 p.m.).
Since the starting time is in the morning (a.m.) and the ending time is in the afternoon (p.m.), we need to consider the 12-hour clock.
From 9:00 a.m. to 12:00 p.m. is 3 hours.
From 12:00 p.m. to 2:00 p.m. is 2 hours.
So, the total time elapsed is 3 hours + 2 hours = 5 hours.
The final answer is 5.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started his science experiment at 9:45 a.m. and finished it at 12:10 p.m. How many hours and minutes did his experiment last?,"To find the amount of time Tom's experiment lasted, we first need to determine the elapsed time between 9:45 a.m. and 12:10 p.m.
From 9:45 a.m. to 12:00 p.m. is 2 hours and 15 minutes.
From 12:00 p.m. to 12:10 p.m. is 10 minutes.
To find the total elapsed time, we need to add the minutes and hours together.
2 hours and 15 minutes + 10 minutes = 2 hours and 25 minutes.
This means Tom's experiment lasted 2 hours and 25 minutes.
The final answer is 2 hours 25 minutes.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started making a DIY craft at 9:00 a.m. He worked on it for 2 hours. What time did he finish making the craft?,"To find out what time Tom finished making the craft, we need to use the information that he started at 9:00 a.m. and worked for 2 hours.
Since Tom worked for 2 hours, we need to add 2 hours to the starting time of 9:00 a.m.
9:00 a.m. + 2 hours = 11:00 a.m.
This means Tom finished making the craft at 11:00 a.m.
The final answer is 11:00 a.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started playing his favorite video game at 9:00 a.m. He played for 2 hours. What time did he stop playing?,"To find the time Tom stopped playing, we need to add the amount of elapsed time (2 hours) to the starting time (9:00 a.m.). 
Since Tom played for 2 hours, we add 2 hours to 9:00 a.m. 
9:00 a.m. + 2 hours = 11:00 a.m.
The final answer is 11:00 a.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started playing his favorite video game at 9:00 a.m. He played for 2 hours. What time will it be when Tom stops playing?,"To find the time when Tom stops playing, we need to add the amount of elapsed time (2 hours) to the starting time (9:00 a.m.). 
Since Tom played for 2 hours, we need to add 2 hours to 9:00 a.m. 
9:00 a.m. + 2 hours = 11:00 a.m.
The final answer is 11:00 a.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started playing his favorite video game at 9:00 a.m. and played for 4 hours. What time did he stop playing?,"To find the time Tom stopped playing, we need to add the amount of elapsed time (4 hours) to the starting time (9:00 a.m.). 
Since the elapsed time is in one-hour increments, we can simply add 4 hours to 9:00 a.m. 
9:00 a.m. + 4 hours = 1:00 p.m.
The final answer is 1:00 p.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started playing soccer at 9:45 a.m. and played for 2 hours and 30 minutes. What time did he stop playing soccer?,"To find the time Tom stopped playing soccer, we need to add the starting time (9:45 a.m.) to the amount of elapsed time (2 hours and 30 minutes).
First, we add 2 hours to 9:45 a.m. 
9:45 a.m. + 2 hours = 11:45 a.m.
Then, we add 30 minutes to 11:45 a.m.
11:45 a.m. + 30 minutes = 12:15 p.m.
The final answer is 12:15 p.m.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started watching his favorite TV show at 4:00 p.m. and it ended at 6:00 p.m. How many hours did Tom watch TV?,"To find out how many hours Tom watched TV, we need to determine the amount of time that has elapsed from the starting time to the ending time.
The starting time was 4:00 p.m. and the ending time was 6:00 p.m.
Since the times are given in one-hour increments within a 12-hour period, we can find the elapsed time by subtracting the starting time from the ending time.
From 4:00 p.m. to 5:00 p.m. is 1 hour, and from 5:00 p.m. to 6:00 p.m. is another hour.
So, the total elapsed time is 2 hours.
The final answer is 2.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 4:00 p.m. and stopped watching it at 7:00 p.m. How many hours did Tom spend watching TV?,"To find out how many hours Tom spent watching TV, we need to determine the amount of time that has elapsed from the starting time (4:00 p.m.) to the ending time (7:00 p.m.).
Since the time is given in one-hour increments within a 12-hour period, we can find the elapsed time by subtracting the starting hour from the ending hour.
7:00 p.m. - 4:00 p.m. = 3 hours
This means Tom spent 3 hours watching TV.
The final answer is 3.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 4:00 p.m. and watched it for 2 hours. What time did Tom stop watching TV?,"To find out what time Tom stopped watching TV, we need to add the amount of elapsed time (2 hours) to the starting time (4:00 p.m.). 
Since the elapsed time is in one-hour increments, we can simply add 2 hours to 4:00 p.m.
4:00 p.m. + 2 hours = 6:00 p.m.
This means Tom stopped watching TV at 6:00 p.m.
The final answer is 6:00 p.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 4:00 p.m. and watched it for 2 hours. What time did he finish watching the show?,"To find the time Tom finished watching the show, we need to add the elapsed time (2 hours) to the starting time (4:00 p.m.).
Since the elapsed time is in one-hour increments, we can simply add 2 hours to 4:00 p.m.
4:00 p.m. + 1 hour = 5:00 p.m.
5:00 p.m. + 1 hour = 6:00 p.m.
This means Tom finished watching the show at 6:00 p.m.
The final answer is 6:00 p.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 4:00 p.m. and watched it for 2 hours. What time will it be when the show ends?,"To find the time when the show ends, we need to add the amount of elapsed time (2 hours) to the starting time (4:00 p.m.). 
Since the show starts at 4:00 p.m. and lasts for 2 hours, we add 2 hours to 4:00 p.m.
4:00 p.m. + 2 hours = 6:00 p.m.
This means the show will end at 6:00 p.m.
The final answer is 6:00 p.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 4:00 p.m. and watched it until 7:00 p.m. How many hours did Tom watch TV?,"To find the amount of time Tom watched TV, we need to subtract the starting time from the ending time.
The starting time is 4:00 p.m. and the ending time is 7:00 p.m.
From 4:00 p.m. to 5:00 p.m. is 1 hour, from 5:00 p.m. to 6:00 p.m. is another hour, and from 6:00 p.m. to 7:00 p.m. is another hour.
So, 1 hour + 1 hour + 1 hour = 3 hours.
The final answer is 3.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 9:00 a.m. and watched it for 2 hours and 45 minutes. What time did he stop watching the show?,"To find the time Tom stopped watching the show, we need to add the elapsed time to the starting time. 
The starting time is 9:00 a.m. and the elapsed time is 2 hours and 45 minutes. 
First, we add the hours: 9 + 2 = 11.
Then, we add the minutes: 0 + 45 = 45.
So, Tom stopped watching the show at 11:45 a.m.
The final answer is 11:45 a.m.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started watching his favorite TV show at 9:00 a.m. and watched it for 2 hours. What time will it be when the show is over?,"To find the time when the show is over, we need to add the elapsed time (2 hours) to the starting time (9:00 a.m.). 
Since the show started at 9:00 a.m. and lasted for 2 hours, we can add 2 hours to 9:00 a.m. 
9:00 a.m. + 2 hours = 11:00 a.m.
This means the show will be over at 11:00 a.m.
The final answer is 11:00 a.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watching his favorite TV show at 9:45 a.m. and finished watching it at 12:10 p.m. How many hours and minutes did the show last?,"To find the amount of time the show lasted, we need to determine the elapsed time from 9:45 a.m. to 12:10 p.m. 
First, we find the elapsed time from 9:45 a.m. to 12:00 p.m. 
12:00 p.m. - 9:45 a.m. = 2 hours 15 minutes
Then, we add the 10 minutes from 12:00 p.m. to 12:10 p.m.
2 hours 15 minutes + 10 minutes = 2 hours 25 minutes
This means the show lasted 2 hours and 25 minutes.
The final answer is 2 hours 25 minutes.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started watching his favorite TV show at 9:45 a.m. and watched it for 2 hours and 15 minutes. What time will it be when he finishes watching the show?,"To find the time it will be when Tom finishes watching the show, we need to add the elapsed time to the starting time.
Tom started watching the show at 9:45 a.m. and watched it for 2 hours and 15 minutes.
First, we add the 2 hours to the starting time. 
9:45 a.m. + 2 hours = 11:45 a.m.
Then, we add the remaining 15 minutes to this time.
11:45 a.m. + 15 minutes = 12:00 p.m.
This means it will be 12:00 p.m. when Tom finishes watching the show.
The final answer is 12:00 p.m.",4,1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time."
Tom started watching his favorite cartoon at 9:00 a.m. and watched it for 2 hours. What time will it be when Tom finishes watching the cartoon?,"To find the time when Tom finishes watching the cartoon, we need to add the elapsed time (2 hours) to the starting time (9:00 a.m.). 
Since the elapsed time is in one-hour increments, we can simply add 2 hours to 9:00 a.m. 
9:00 a.m. + 2 hours = 11:00 a.m.
This means Tom will finish watching the cartoon at 11:00 a.m.
The final answer is 11:00 a.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom started watering his plants at 9:00 a.m. He watered them for 2 hours. What time will it be when Tom finishes watering his plants?,"Tom started watering his plants at 9:00 a.m. and watered them for 2 hours.
To find the time Tom will finish watering, we need to add 2 hours to the starting time (9:00 a.m.).
Since Tom started at 9:00 a.m., adding 2 hours will make it 11:00 a.m.
The final answer is 11:00 a.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
"Tom wants to put a fence around his rectangular garden that measures 12 meters by 8 meters. If the fence costs $5 per meter, what will be the total cost of the fence?","To find the total cost of the fence, we first need to calculate the perimeter of the garden since that's the length of fence Tom will need. 
The formula for the perimeter of a rectangle is P = 2l + 2w, where l is the length and w is the width. 
Given the length (l) is 12 meters and the width (w) is 8 meters, we plug these values into the formula. 
P = 2(12) + 2(8)
P = 24 + 16
P = 40
So, the perimeter of the garden is 40 meters. 
Now, to find the total cost of the fence, we multiply the perimeter by the cost per meter. 
40 * $5 = $200
The final answer is 200.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
Tom went bird watching at 9:00 a.m. and came back home at 12:00 p.m. How many hours did Tom spend bird watching?,"To find the amount of time Tom spent bird watching, we need to determine the elapsed time from 9:00 a.m. to 12:00 p.m.
Since the elapsed time is within a 12-hour period and in one-hour increments, we can subtract the starting time from the ending time.
From 9:00 a.m. to 12:00 p.m. is 3 hours.
This means Tom spent 3 hours bird watching.
The final answer is 3.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
"Tom went on a hike and noticed the number of rocks on each milestone. At the 1st milestone, he saw 5 rocks, at the 2nd milestone, he saw 8 rocks, at the 3rd milestone, he saw 11 rocks, and at the 4th milestone, he saw 14 rocks. If the pattern continues, how many rocks will Tom see at the 5th milestone?","To find out how many rocks Tom will see at the 5th milestone, we need to identify the pattern. 
The number of rocks at each milestone is increasing by 3, then 3, then 3. 
At the 1st milestone, Tom saw 5 rocks. 
At the 2nd milestone, he saw 5 + 3 = 8 rocks. 
At the 3rd milestone, he saw 8 + 3 = 11 rocks. 
At the 4th milestone, he saw 11 + 3 = 14 rocks. 
Following the same pattern, at the 5th milestone, Tom will see 14 + 3 = 17 rocks. 
The final answer is 17.",3,"1. Identifying, describing, and/or extending patterns based on addition and subtraction of whole numbers","3.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns (limited to addition and subtraction of whole numbers), including those in context, using various representations.","3.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending patterns."
"Tom's Pizza Place is having a special on their large pizzas that cost $15.99 each. If Sara buys 8 of these pizzas for her party, and there is an 8% sales tax added to her total bill, how much will she pay in total for the pizzas, and what will be the total amount of the sales tax?","To solve this problem, we first need to determine how much money Sara spent before the 8% tax was added to the total cost. 
To find the amount she spent before tax, we need to multiply the number of pizzas she bought (8) by the cost for each pizza ($15.99).
8 x 15.99 = 127.92
To find the total amount of the sales tax, we need to multiply the total amount she spent before tax ($127.92) by the tax rate (8% or 0.08).
127.92 x 0.08 = 10.23
To find the total amount she paid, we need to add the total amount of the sales tax ($10.23) to the amount she spent before tax ($127.92).
127.92 + 10.23 = 138.15
The total amount of the sales tax is $10.23, and the total amount Sara paid is $138.15.
The final answer is 138.15.",5,"1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Single-step division with decimals","5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm.
e) Solve single-step contextual problems involving division with decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
Tom's family went to a car museum. They arrived at 9:00 a.m. and left at 11:00 a.m. How many hours did they spend at the car museum?,"To find out how many hours Tom's family spent at the car museum, we need to subtract the starting time from the ending time.
They arrived at 9:00 a.m. and left at 11:00 a.m.
From 9:00 a.m. to 10:00 a.m. is 1 hour.
From 10:00 a.m. to 11:00 a.m. is another hour.
So, in total, they spent 2 hours at the car museum.
The final answer is 2.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
Tom's favorite TV show starts at 4:00 p.m. and lasts for 2 hours. What time will it end?,"To find the time the TV show will end, we need to add the amount of elapsed time (2 hours) to the starting time (4:00 p.m.). 
Since the show starts at 4:00 p.m. and lasts for 2 hours, we add 2 hours to 4:00 p.m. 
4:00 p.m. + 2 hours = 6:00 p.m.
The final answer is 6:00 p.m.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
"Tom's mom is making punch for a party and the recipe calls for 2 quarts of lemonade. If Tom's mom only has a 1-cup measuring cup, how many cups of lemonade will she need to make the recipe, given that there are 4 cups in a quart?","To find out how many cups of lemonade Tom's mom will need, we first need to determine how many cups are in 2 quarts. 
We know there are 4 cups in a quart, so to find the number of cups in 2 quarts, we need to multiply the number of quarts (2) by the number of cups per quart (4). 
2 x 4 = 8
This means Tom's mom will need 8 cups of lemonade to make the recipe.
The final answer is 8.",4,"1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume","4.MG.1 The student will reason mathematically to solve problems, including those in context, that involve length, weight/mass, and liquid volume using U.S. Customary and metric units.","4.MG.1:
a) Given the equivalent measure of one unit, solve problems, including those in context, by determining the equivalent measures within the U.S. Customary system for: 
    i) length (inches and feet, feet and yards, inches and yards); 
    ii) weight/mass (ounces and pounds); and 
    iii) liquid volume (cups, pints, quarts, and gallons)."
"Tom's mom needs 3 pounds of apples to make a pie. If she already has 2 pounds of apples and wants to buy the rest from the store, where apples are sold by the ounce, how many ounces of apples should she buy?","To find out how many ounces of apples Tom's mom needs to buy, we first need to determine how many pounds of apples she still needs. 
We know that she needs 3 pounds of apples and already has 2 pounds. 
To find the number of pounds she still needs, we subtract the number of pounds she has (2) from the total number of pounds needed (3).
3 - 2 = 1
This means she needs 1 more pound of apples.
Since apples are sold by the ounce and there are 16 ounces in a pound, we need to convert 1 pound to ounces.
1 x 16 = 16
This means Tom's mom needs to buy 16 ounces of apples.
The final answer is 16.",4,"1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume","4.MG.1 The student will reason mathematically to solve problems, including those in context, that involve length, weight/mass, and liquid volume using U.S. Customary and metric units.","4.MG.1:
a) Given the equivalent measure of one unit, solve problems, including those in context, by determining the equivalent measures within the U.S. Customary system for: 
    i) length (inches and feet, feet and yards, inches and yards); 
    ii) weight/mass (ounces and pounds); and 
    iii) liquid volume (cups, pints, quarts, and gallons)."
