question,solution,math_topic,grade,standard,substandard
"On a cake, Willie will need to have 300 lbs. of whipped cream. If he got 149 lbs. of cream from his farm, how much more cream is needed to be bought?","Willie needs 300 lbs. of whipped cream for the cake. 
He already has 149 lbs. of cream from his farm. 
To find how much more cream is needed, we have to subtract the amount of cream he already has from the amount of cream he needs. 
300 - 149 = 151. 
The final answer is 151.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"There's only a week left before Christmas. John went out to buy gifts for his family. Having $999.00 for his budget, he went to a sports store and bought his brother a new pair of shoes for $165.00. How much money does he have left?","To find out how much money John has left, we first need to identify how much money he started with and how much he spent.
John started with $999.00 and spent $165.00 on the new pair of shoes for his brother.
To find out how much money he has left, we need to subtract the amount he spent ($165.00) from the amount he started with ($999.00).
$999.00 - $165.00 = $834.00
This means John has $834.00 left after buying the shoes for his brother.
The final answer is 834.00","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Josh went to a music store and bought a new set of speakers for his dad's entertainment system. If the initial price of the speakers is $475.00 he got it for $199.00, how much money was he able to save from having a discount?","To find how much money Josh was able to save from having a discount, we first need to determine the difference between the initial price of the speakers and the price he paid.
The initial price of the speakers is $475.00 and he paid $199.00.
To find the amount he saved, we need to subtract the price he paid ($199.00) from the initial price ($475.00).
$475.00 - $199.00 = $276.00
This means Josh was able to save $276.00 from having a discount.
The final answer is 276.00","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"If he spent a total of $700.00 and all the gifts cost a total of $561.00, how much money did he spend on giftwrapping and other expenses?","To find out how much money he spent on gift wrapping and other expenses, we need to subtract the total cost of the gifts from the total amount he spent.
The total amount he spent is $700.00 and the total cost of the gifts is $561.00.
We will subtract the cost of the gifts from the total amount spent.
$700.00 - $561.00 = $139.00
This means he spent $139.00 on gift wrapping and other expenses.
The final answer is 139.00","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Janine owns a catering service company. She was hired to cater for the mayor's 50th birthday. For the appetizers, she needs to make 750 mini meat pies. She divided her crew into 3 teams. If the first team made 235, and the second made 275, how many pies should the third team make?","To find out how many pies the third team should make, we first need to determine the total number of pies that need to be made, which is 750.
We know that the first team made 235 mini meat pies and the second team made 275 mini meat pies.
To find the total number of pies made by the first two teams, we need to add the number of pies made by the first team (235) to the number of pies made by the second team (275).
235 + 275 = 510
This means that the first two teams made a total of 510 pies.
To find out how many pies the third team should make, we need to subtract the total number of pies made by the first two teams (510) from the total number of pies that need to be made (750).
750 - 510 = 240
The final answer is 240.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Amy needs 280 cups of mushroom soup. If the first team made 90 cups, and the third team made 70 cups, how any cups should the second team prepare in order to meet the required amount of soup?","To find out how many cups the second team should prepare, we first need to determine the total number of cups the first and third teams made together. 
The first team made 90 cups and the third team made 70 cups. 
To find the total number of cups they made together, we need to add the number of cups the first team made (90) to the number of cups the third team made (70). 
90 + 70 = 160
This means the first and third teams made 160 cups together. 
Since Amy needs 280 cups of mushroom soup, to find out how many cups the second team should prepare, we need to subtract the total number of cups the first and third teams made (160) from the total number of cups needed (280). 
280 - 160 = 120
This means the second team should prepare 120 cups of mushroom soup. 
The final answer is 120.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"The chefs were asked to make 500 pieces of fish fillets. If the first team made 189 pieces and the second team made 131 pieces, how many pieces should the third team make?","The chefs were asked to make 500 pieces of fish fillets. 
The first team made 189 pieces and the second team made 131 pieces. 
To find out how many pieces the third team should make, we need to add the number of pieces the first and second teams made together. 
189 + 131 = 320
Then, we need to subtract the total number of pieces the first and second teams made from the total number of pieces the chefs were asked to make.
500 - 320 = 180
This means the third team should make 180 pieces. 
The final answer is 180.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"The chefs served a total of 179 adults and 141 children, if 156 of all the people they served are male, how many are female?","To find the number of females, we first need to find the total number of people served. 
The total number of people served is the sum of adults and children.
179 (adults) + 141 (children) = 320
This means the chefs served 320 people in total.
We are given that 156 of all the people they served are male.
To find the number of females, we need to subtract the number of males from the total number of people served.
320 (total people) - 156 (males) = 164
The final answer is 164.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Josh needed some nails. If he already has 247 nails with him and he found another 144 in his toolshed, how many more nails does he need to buy if he needs a total of 500 nails?","Josh already has 247 nails and found another 144 in his toolshed. 
To find the total number of nails he currently has, we need to add the number of nails he already had (247) to the number of nails he found (144). 
247 + 144 = 391. 
This means Josh currently has 391 nails. 
To find how many more nails he needs to buy, we need to subtract the total number of nails he currently has (391) from the total number of nails he needs (500). 
500 - 391 = 109. 
The final answer is 109.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors. For the party, they prepared a few snacks for everyone. If his sister prepared 25 mini cupcakes and his mother prepared 30, how many did his grandmother prepare if they have a total of 100 cupcakes?","To find out how many cupcakes Kevin's grandmother prepared, we first need to determine the total number of cupcakes prepared by Kevin's sister and mother. 
Kevin's sister prepared 25 mini cupcakes and his mother prepared 30 mini cupcakes. 
To find the total number of cupcakes they prepared, we need to add the number of cupcakes Kevin's sister prepared (25) and the number of cupcakes his mother prepared (30). 
25 + 30 = 55
This means Kevin's sister and mother prepared 55 cupcakes in total. 
Since the total number of cupcakes is 100, to find the number of cupcakes Kevin's grandmother prepared, we need to subtract the total number of cupcakes prepared by Kevin's sister and mother (55) from the total number of cupcakes (100). 
100 - 55 = 45
The final answer is 45.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Since pizza is a favorite in Kevin's family, they also bought some. His sister bought 48 slices of pizza and his brother bought 48 as well. How many slices of pizza do they have for their neighbors if the family already ate 27 slices?","To find the total number of slices of pizza Kevin's family has, we first need to add the slices his sister bought and the slices his brother bought. 
His sister bought 48 slices and his brother bought 48 slices. 
48 + 48 = 96
This means Kevin's family has 96 slices of pizza in total. 
Since the family already ate 27 slices, we need to subtract the number of slices they ate (27) from the total number of slices they have (96) to find how many slices they have left for their neighbors.
96 - 27 = 69
The final answer is 69.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"After the party, Kevin estimated that the total money they spent on food, drinks, and utensils sums up to $560.00. If they spent $268.00 on food and $118.00 on utensils and other stuff, how much did they spend on drinks?","To find out how much they spent on drinks, we first need to add the amount they spent on food and utensils together. 
They spent $268.00 on food and $118.00 on utensils. 
$268.00 + $118.00 = $386.00
This means they spent $386.00 on food and utensils together. 
Now, we need to subtract this amount from the total amount they spent to find the amount spent on drinks. 
The total amount spent is $560.00. 
$560.00 - $386.00 = $174.00
This means they spent $174.00 on drinks. 
The final answer is 174.00","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Katie loves to travel. On her birthday, she decided to go on a trip on a mysterious continent. Her first destination was in an island of statues which is 436 miles from her place. She took a plane that made two stopovers, the 1st stopover after covering 132 miles and the 2nd stopover after another 236 miles. How much farther is the island from the 2nd stopover?","To find how much farther the island is from the 2nd stopover, we first need to determine the total distance Katie traveled to get to the 2nd stopover.
The plane made a stopover after 132 miles, and then another stopover after 236 miles.
So, the total distance traveled to get to the 2nd stopover is 132 + 236 = 368 miles.
Since the island is 436 miles from Katie's place, to find how much farther the island is from the 2nd stopover, we need to subtract the distance traveled to get to the 2nd stopover (368 miles) from the total distance to the island (436 miles).
436 - 368 = 68
The final answer is 68.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Katie spent a total $350.00 on her whole stay in the island. If she spent $125.00 on food and $135.00 on hotel rooms, how much did she spend on buying other stuff?","To find out how much Katie spent on buying other stuff, we first need to add up the amount she spent on food and hotel rooms. 
The amount she spent on food is $125.00 and the amount she spent on hotel rooms is $135.00. 
To find the total amount she spent on food and hotel rooms, we need to add these two amounts together. 
$125.00 + $135.00 = $260.00
This means she spent $260.00 on food and hotel rooms. 
To find out how much she spent on other stuff, we need to subtract the amount she spent on food and hotel rooms ($260.00) from the total amount she spent ($350.00). 
$350.00 - $260.00 = $90.00
The final answer is 90.00","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Amy went to a country full of mountains. There she saw 532 species of insects, reptiles and birds. If she saw 253 insect species and 143 bird species, how many reptile species did she see?","To find the number of reptile species Amy saw, we need to subtract the number of insect and bird species from the total number of species.
First, we add the number of insect species (253) and the number of bird species (143) together.
253 + 143 = 396
Then, we subtract the total number of insect and bird species (396) from the total number of species (532).
532 - 396 = 136
The final answer is 136.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Amy went to the famous beach on the continent. There, she collected 291 seashells of different colors. If she has 76 red shells and 49 green shells, how many shells are not red or green?","To find out how many shells are not red or green, we first need to determine the total number of red and green shells Amy has. 
Amy has 76 red shells and 49 green shells. 
To find the total number of red and green shells, we need to add the number of red shells and the number of green shells together. 
76 + 49 = 125. 
This means Amy has 125 shells that are either red or green. 
To find the number of shells that are not red or green, we need to subtract the total number of red and green shells from the total number of shells Amy collected. 
291 - 125 = 166. 
The final answer is 166.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Paul got a box of 479 crayons for his birthday. At the end of the school year, he only had 134 left. How many crayons had been lost or given away?","Paul started with 479 crayons and ended with 134 crayons. 
To find how many crayons had been lost or given away, we have to subtract the number of crayons he had left from the number of crayons he started with. 
479 - 134 = 345. 
This means that 345 crayons had been lost or given away. 
The final answer is 345.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Beth has 106 crayons. She gives 54 of them away to Jen. How many crayons does Beth have left?,"To find out how many crayons Beth has left, we need to subtract the number of crayons she gave away from the total number of crayons she had. 
Beth started with 106 crayons and gave 54 away. 
106 - 54 = 52
This means Beth has 52 crayons left after giving 54 to Jen. 
The final answer is 52.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?,"To find out how many dollars Misha needs to earn to have 47 dollars, we first need to know how much money she already has and how much money she wants.
Misha already has 34 dollars and she wants 47 dollars.
To find out how much more money she needs to earn, we need to subtract the amount of money she already has from the amount of money she wants.
47 - 34 = 13
This means Misha needs to earn 13 dollars to have 47 dollars to buy a dog.
The final answer is 13.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
James had 39 stickers. He got some more stickers for his birthday. Then he had 61 stickers. How many stickers did James get for his birthday?,"James had 39 stickers and then he had 61 stickers after his birthday. 
To find how many stickers James got for his birthday, we have to subtract the number of stickers James had before his birthday from the number of stickers he had after his birthday. 
61 - 39 = 22. 
The final answer is 22.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
There were 51 geese in the farmer's field. 28 of the geese flew away. How many geese were left in the field?,"To find the number of geese left in the field, we need to subtract the number of geese that flew away from the total number of geese that were originally in the field. 
The total number of geese originally in the field was 51. 
The number of geese that flew away was 28. 
51 - 28 = 23. 
This means that 23 geese were left in the field. 
The final answer is 23.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Gary had 73 dollars. He spent 55 dollars on a pet snake. How many dollars did Gary have left?,"Gary had 73 dollars and spent 55 dollars on a pet snake. 
To find how many dollars Gary had left, we have to subtract the amount he spent on the pet snake from the amount he originally had. 
73 - 55 = 18. 
The final answer is 18.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Ellen had 380 legos, but she lost 57 of them. How many legos does she have now?","Ellen had 380 legos, but she lost 57 of them. 
To find out how many legos Ellen has now, we need to subtract the number of legos she lost (57) from the number of legos she originally had (380).
380 - 57 = 323
This means Ellen has 323 legos left after losing 57. 
The final answer is 323.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Arthur baked 35 muffins. How many more muffins does Arthur have to bake to have 83 muffins?,"To find out how many more muffins Arthur has to bake, we need to subtract the number of muffins he already baked (35) from the total number of muffins he wants (83).
83 - 35 = 48
This means Arthur needs to bake 48 more muffins to have a total of 83 muffins.
The final answer is 48.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Lizette has 813 stamps. She has 125 more stamps than Minerva. How many stamps does Minerva have?,"To find out how many stamps Minerva has, we need to determine the difference in the number of stamps between Lizette and Minerva.
Lizette has 813 stamps and she has 125 more stamps than Minerva.
To find the number of stamps Minerva has, we need to subtract the difference (125) from the total number of stamps Lizette has (813).
813 - 125 = 688
This means Minerva has 688 stamps.
The final answer is 688.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Kelly has 121 Nintendo games. How many does she need to give away so that she will have 22 games left?,"To find out how many games Kelly needs to give away so that she will have 22 games left, we need to subtract the number of games she wants to have left (22) from the total number of games she currently has (121).
121 - 22 = 99
This means Kelly needs to give away 99 games to have 22 games left.
The final answer is 99.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Iesha has 344 books. 136 are about school and the rest are about sports. How many books about sports does Iesha have?,"To find out how many books Iesha has about sports, we first need to determine the total number of books that are not about school. 
We know Iesha has 344 books in total and 136 of them are about school. 
To find the number of books about sports, we need to subtract the number of books about school (136) from the total number of books (344). 
344 - 136 = 208
This means Iesha has 208 books that are not about school, which are about sports. 
The final answer is 208.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
The farmer had 127 apples. He gave 88 apples to his neighbor. How many apples does he have now?,"The farmer started with 127 apples and gave 88 apples to his neighbor. 
To find out how many apples the farmer has now, we need to subtract the number of apples he gave away (88) from the total number of apples he started with (127). 
127 - 88 = 39. 
The final answer is 39.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Lucy has 212 fish. How many more fish does she need to buy to have 280 fish?,"To find out how many more fish Lucy needs to buy, we first need to determine the difference between the number of fish she wants (280) and the number of fish she currently has (212).
To do this, we need to subtract the number of fish she currently has (212) from the number of fish she wants (280).
280 - 212 = 68
This means Lucy needs to buy 68 more fish to have a total of 280 fish.
The final answer is 68.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
A pet supply store has 600 bags of dog food and 327 bags of cat food. How many more bags of dog food are there than cat food?,"To find out how many more bags of dog food there are than cat food, we first need to subtract the number of bags of cat food from the number of bags of dog food.
The store has 600 bags of dog food and 327 bags of cat food.
600 - 327 = 273
This means there are 273 more bags of dog food than cat food.
The final answer is 273.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
532 people are watching a movie in a theater. The theater has 750 seats. How many seats are empty in the theater?,"To find the number of empty seats in the theater, we need to subtract the number of people watching the movie from the total number of seats.
The theater has 750 seats and 532 people are watching the movie.
750 - 532 = 218
This means that there are 218 seats that are empty in the theater.
The final answer is 218.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Ulrich wants to buy a jump rope that costs $9, a board game that costs $9, and a playground ball that costs $5. He has saved $7 from his allowance, and his uncle gave him $15. How much more money does Ulrich need to buy the jump rope, the game, and the ball?","To find out how much more money Ulrich needs, we first need to determine the total cost of the items he wants to buy. 
The jump rope costs $9, the board game costs $9, and the playground ball costs $5. 
To find the total cost, we need to add these amounts together. 
$9 + $9 + $5 = $23
This means the total cost of the items Ulrich wants to buy is $23. 
Next, we need to find out how much money Ulrich currently has. 
He has saved $7 from his allowance, and his uncle gave him $15. 
To find the total amount of money Ulrich has, we need to add these amounts together. 
$7 + $15 = $22
This means Ulrich currently has $22. 
To find out how much more money Ulrich needs, we need to subtract the amount of money he has from the total cost of the items. 
$23 - $22 = $1
The final answer is 1.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Antonieta wants to ride the Ferris wheel, the roller coaster, and the log ride. The Ferris wheel costs 6 tickets, the roller coaster costs 5 tickets and the log ride costs 7 tickets. Antonieta has 2 tickets. How many more tickets should Antonieta buy?","To find out how many more tickets Antonieta should buy, we first need to determine the total number of tickets she needs to ride the Ferris wheel, the roller coaster, and the log ride. 
The Ferris wheel costs 6 tickets, the roller coaster costs 5 tickets, and the log ride costs 7 tickets. 
To find the total number of tickets she needs, we have to add the tickets for each ride together. 
6 + 5 + 7 = 18
This means Antonieta needs 18 tickets in total to ride all three rides. 
Since Antonieta already has 2 tickets, we need to subtract the number of tickets she has from the total number of tickets she needs to find out how many more she should buy.
18 - 2 = 16
The final answer is 16.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Maura collects seashells every summer. Her family stays at the beach house for 21 days. This summer, Maura found 75 seashells. She gave some to her little sister. Maura then had 57 seashells. How many seashells did Maura give to her sister?","Maura started with 75 seashells and after giving some to her sister, she had 57 seashells. 
To find how many seashells she gave to her sister, we need to subtract the number of seashells she had after giving some away (57) from the number of seashells she started with (75). 
75 - 57 = 18
This means Maura gave 18 seashells to her sister. 
The final answer is 18.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"The Central City Zoo has 45 chimpanzees. Every day the chimps eat a total of 72 bananas. Next week, the zoo is moving 18 chimps to a new cage. How many chimps will stay in the old cage?","The zoo currently has 45 chimpanzees. 
Next week, the zoo is moving 18 chimps to a new cage. 
To find how many chimps will stay in the old cage, we have to subtract the number of chimps being moved to the new cage (18) from the total number of chimps (45). 
45 - 18 = 27. 
The final answer is 27.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
