,question,solution,math_topic,grade,standards_alignment,accuracy,solvability,appropriateness,good
1256,"Black Panther is a rectangular prism-shaped aquarium that holds 24.5 gallons of water. If the aquarium's length is 6.2 feet, its width is 2.1 feet, and its height is 1.8 feet, what is the volume of the empty space in the aquarium, assuming the water takes up the entire volume of the aquarium and the aquarium is 0.5 feet longer than it needs to be to hold the water?","To find the volume of the empty space, we first need to find the actual volume of the water in the aquarium and then find the total volume of the aquarium.
The volume of the water in the aquarium can be found by multiplying the length, width, and height of the water, which will be the same as the aquarium's dimensions minus the extra 0.5 feet of length.
The height and width of the water are the same as the aquarium's, which are 1.8 feet and 2.1 feet, respectively.
The length of the water is 6.2 - 0.5 = 5.7 feet.
Now, we multiply the length, width, and height of the water to get its volume.
5.7 x 2.1 x 1.8 = 21.66 cubic feet.
Since there are 7.48 gallons in a cubic foot, we multiply 21.66 by 7.48 to find the volume of the water in gallons.
21.66 x 7.48 = 161.93 gallons.
However, this is not the volume of water the aquarium actually holds, which is 24.5 gallons.
To find the volume of the empty space, we first need to find the actual volume of the aquarium, which is the product of its length, width, and height.
6.2 x 2.1 x 1.8 = 23.316 cubic feet.
Now, we multiply the volume in cubic feet by 7.48 gallons per cubic foot to find the total volume of the aquarium in gallons.
23.316 x 7.48 = 174.19 gallons.
Since the volume of the water is 24.5 gallons, we subtract this from the volume of the aquarium.
174.19 - 24.5 = 149.69
The final answer is 149.69.","1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Perimeter, area, and/or volume in standard units of measure",5,1,0,1,0,0
1257,"Black Panther is a vendor at the school fair, selling Black Panther's Special Lemonade. A customer purchases a cup of Black Panther's Special Lemonade for $2.50. The customer pays with a $5.00 bill. How much change should Black Panther give to the customer?","To find out how much change Black Panther should give to the customer, we need to subtract the cost of the lemonade ($2.50) from the amount the customer paid ($5.00). 
First, let's find the difference: 
$5.00 - $2.50 = $2.50
This means Black Panther should give $2.50 in change to the customer.
The final answer is $2.50.",1. Make change from $5.00 or less,3,1,1,1,1,1
1258,"Black Panther is a zoo animal that needs a special diet. For lunch, Black Panther eats 16 ounces of meat. If 1 pound of meat is equal to 16 ounces, how many pounds of meat does Black Panther eat for lunch? If the zookeeper also needs to give Black Panther 2 cups of water, and there are 4 cups in 1 quart, how many quarts of water is the zookeeper giving Black Panther?","To find out how many pounds of meat Black Panther eats, we need to use the given conversion that 1 pound of meat is equal to 16 ounces. 
Black Panther eats 16 ounces of meat. 
Since 1 pound is equal to 16 ounces, Black Panther eats 1 pound of meat. 
Next, to find out how many quarts of water the zookeeper is giving Black Panther, we need to use the given conversion that there are 4 cups in 1 quart. 
The zookeeper is giving Black Panther 2 cups of water. 
To convert cups to quarts, we need to divide the number of cups (2) by the number of cups in a quart (4).
2 ÷ 4 = 0.5
This means the zookeeper is giving Black Panther 0.5 quarts of water.
The final answer is 1 pound and 0.5 quarts.","1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume",4,1,1,1,1,1
1259,"Black Panther is building a rectangular garden in his backyard. The length of the garden is 12 feet and the width is 8 feet. What is the area of the garden in square feet, and if Black Panther wants to put a fence around the garden, what is the perimeter of the garden in feet?","To find the area of the garden, we need to multiply the length by the width.
Area = length x width
Area = 12 x 8
Area = 96
So, the area of the garden is 96 square feet.
To find the perimeter of the garden, we need to add up the lengths of all the sides.
Perimeter = 2 x (length + width)
Perimeter = 2 x (12 + 8)
Perimeter = 2 x 20
Perimeter = 40
So, the perimeter of the garden is 40 feet.
The final answer is 96 square feet for the area and 40 feet for the perimeter.","1. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
1260,"Black Panther is making bags of trail mix for her friends. She needs 9 cups of nuts for each bag and she wants to put 3/4 cup of chocolate chips in each bag of nuts. If she has 27 cups of chocolate chips, how many bags can she make with the chocolate chips she has, assuming she uses all the chocolate chips?","To solve this problem, we need to first find how many bags Black Panther can make with the chocolate chips she has.
Since Black Panther wants to put 3/4 cup of chocolate chips in each bag, we need to divide the total amount of chocolate chips (27 cups) by the amount of chocolate chips per bag (3/4 cup).
To divide 27 by 3/4, we need to multiply 27 by the reciprocal of 3/4, which is 4/3.
27 × 4/3 = (27 × 4) / 3 = 108 / 3 = 36
This means Black Panther can make 36 bags with the chocolate chips she has, but we still need to check if she has enough nuts.
Since Black Panther needs 9 cups of nuts for each bag and she can make 36 bags with the chocolate chips, we need to multiply the number of bags by the amount of nuts per bag.
36 × 9 = 324
However, the question does not provide information about the amount of nuts Black Panther has. 
Since the problem only asks about the chocolate chips, we will assume Black Panther has enough nuts to make the bags.
The final answer is 36.",1. Single-step multiplication of a whole number 12 or less with a proper fraction; the denominator of the fraction should be a factor of the whole number,5,0,0,1,0,0
1261,"Black Panther is making trail mix for the hiking club. The recipe calls for 9 batches of mix, with each batch requiring 2/3 cup of chocolate chips. How many cups of chocolate chips will Black Panther need in total to make the trail mix?","To find out how many cups of chocolate chips Black Panther will need, we need to multiply the number of batches (9) by the amount of chocolate chips per batch (2/3 cup). 
First, we need to multiply 9 (the number of batches) by 2 (the numerator of the fraction), since multiplying a whole number by a fraction is the same as multiplying the whole number by the numerator and keeping the denominator the same. 
9 x 2 = 18
The result of multiplying 9 by 2/3 is 18/3. 
To simplify this fraction, we divide both the numerator and the denominator by their greatest common divisor, which is 3. 
18 divided by 3 is 6, and 3 divided by 3 is 1. 
So, 18/3 simplifies to 6/1 or just 6. 
The final answer is 6.",1. Single-step multiplication of a whole number 12 or less with a proper fraction; the denominator of the fraction should be a factor of the whole number,5,1,1,1,1,1
1262,Black Panther is making trail mix for the school's hiking club. He needs to mix 1/4 cup of chocolate chips into each of the 8 bags. How many cups of chocolate chips will Black Panther need in total to fill all the bags?,"To find out how many cups of chocolate chips Black Panther will need, we need to multiply the number of bags (8) by the amount of chocolate chips per bag (1/4 cup).
First, we convert the mixed number into an improper fraction, but in this case, we are multiplying a whole number (8) by a unit fraction (1/4).
8 * 1/4 = 8/4 = 2
This means Black Panther will need 2 cups of chocolate chips in total to fill all the bags.
The final answer is 2.","1. Single-step multiplication of a whole number 12 or less with a unit fraction with denominators 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
1263,Black Panther is sharing some juice with his friends. He has 12.4 ounces of juice to share equally among 4 of his friends. How many ounces of juice will each friend get?,"To find out how many ounces of juice each friend will get, we need to divide the total amount of juice (12.4 ounces) by the number of friends (4). 
12.4 / 4 = 3.1
This means each friend will get 3.1 ounces of juice.
The final answer is 3.1.",1. Single-step division with decimals,5,1,1,1,1,1
1264,"Black Panther is the star player of his school soccer team and needs to sell soccer balls to raise money for new uniforms. He has 15 soccer balls to sell at $8 each. If he already has $25 and needs a total of $125 to buy the uniforms, how many soccer balls does he need to sell?","To find out how many soccer balls Black Panther needs to sell, we first need to determine how much more money he needs to raise.
Black Panther needs a total of $125 and he already has $25.
To find out how much more money he needs, we subtract the amount of money he already has ($25) from the total amount of money he needs ($125).
$125 - $25 = $100
This means Black Panther needs to raise $100 more.
Since each soccer ball costs $8, to find out how many soccer balls he needs to sell, we need to divide the amount of money he needs to raise ($100) by the cost of each soccer ball ($8).
$100 / $8 = 12.5
Since Black Panther cannot sell half of a soccer ball, we need to round up to the nearest whole number. 
So, Black Panther needs to sell 13 soccer balls to have more than enough money to buy the uniforms, but to find the minimum number of balls he needs to sell to have at least $100, we will use 12.5, which is 12 remainder 1/2, which we will call 12 with a remainder of 1/2, which is 12 and 1/2. 
To solve 12 and 1/2 soccer balls, we will first solve 12 soccer balls, which we know is 12 x 8 = 96.
Then we will solve 1/2 soccer balls, to do that, we will do 1/2 x 8, which equals 4.
Then we will add 96 and 4 to get 100.
The final answer is 13.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000
2. Single-step multiplication and/or division without remainders of whole numbers through 10 x 10",3,0,0,1,1,0
1265,Captain America had 1/4 of a pizza left from last night's party and his friend gave him 1/4 of another pizza. How much pizza does Captain America have now?,"To find out how much pizza Captain America has, we need to add the fraction of pizza he had left (1/4) to the fraction his friend gave him (1/4).
Since both fractions have the same denominator, which is 4, we can directly add the numerators.
1/4 + 1/4 = 2/4
We can simplify 2/4 to 1/2 by dividing both the numerator and denominator by 2.
The final answer is 1/2.","1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
1266,"Captain America had 93 badges to put into boxes that hold 7 badges each. How many boxes can he fill, and how many badges will be left over?","To find out how many boxes Captain America can fill, we need to divide the total number of badges (93) by the number of badges each box can hold (7).
93 / 7 = 13 with a remainder of 2
This means Captain America can fill 13 boxes with 7 badges in each box. To find out how many badges will be left over, we need to multiply the number of boxes (13) by the number of badges each box can hold (7) and subtract the product from the total number of badges (93).
13 x 7 = 91
93 - 91 = 2
This means Captain America can fill 13 boxes and there will be 2 badges left over.
The final answer is 13 boxes with 2 badges left over.",1. Single-step division without remainders for a one-digit divisor and a two- or three-digit dividend,4,1,1,1,1,1
1267,"Captain America has $12.50 to buy new badges for his fan club. If he wants to put an equal amount of money towards the badges for each of the 5 members, including himself, how much money will each member get?","To find out how much money each member will get, we need to divide the total amount of money Captain America has ($12.50) by the number of members (5).
We will divide $12.50 by 5.
$12.50 / 5 = $2.50
This means each member will get $2.50.
The final answer is 2.50.",1. Single-step division with decimals,5,1,1,1,1,1
1268,Captain America has $15.25 to buy a new shield that costs $12.50. How much change will he get after buying the shield?,"To find out how much change Captain America will get, we first need to subtract the cost of the shield ($12.50) from the amount of money he has ($15.25).
We will perform the following subtraction: $15.25 - $12.50.
To do this, we can subtract the whole numbers and the decimals separately.
15 - 12 = 3
For the decimals, we need to subtract.25 -.50.
Since.25 is less than.50, we will borrow from the whole number part to make the subtraction easier.
We will borrow 1 from the whole number, turning the 3 into 2 and the whole number part (15) into 14, and then we will turn the 1 into.100 (since $1 = $1.00) and add it to.25 to get 1.25.
Now, our equation becomes: 1.25 -.50 =.75
Then we add the whole number part we got (2) and the decimal part (.75) together to get 2.75.
The final answer is 2.75.",1. Single-step and multistep addition and/or subtraction with decimals through the thousandths,4,1,1,1,1,1
1269,Captain America has 1 3/4 cups of super-soldier and 2 1/4 cups of super-soldier to share with his friends at the superhero convention. How many cups of super-soldier will Captain America have in total to share with his friends?,"To find the total number of cups of super-soldier Captain America has, we need to add 1 3/4 cups and 2 1/4 cups. 
First, we add the whole numbers: 1 + 2 = 3.
Then, we add the fractions: 3/4 + 1/4 = 4/4 = 1.
So, 3 + 1 = 4.
This means Captain America will have 4 cups of super-soldier to share with his friends.
The final answer is 4.","1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
1270,"Captain America has 18 boxes of freedom badges to package and ship to his fellow superheroes. Each box can hold 12 badges. How many badges can Captain America ship in total, and if he has 227 badges, how many boxes will he have left over after filling all the boxes he can?","To find the total number of badges Captain America can ship, we need to multiply the number of boxes (18) by the number of badges each box can hold (12).
18 x 12 = 216
This means Captain America can ship 216 badges.
Since Captain America has 227 badges and he can only ship 216 badges, to find the number of badges he will have left over, we need to subtract the number of badges he can ship (216) from the total number of badges he has (227).
227 - 216 = 11
The final answer is 11.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders
3. Single-step and multistep addition, subtraction, and/or multiplication of decimals
4. Single-step division with decimals",5,1,1,1,1,1
1271,"Captain America has 18 boxes of patriotic pins. Each box contains 12 pins. He wants to put the pins into bags with 4 pins in each bag. How many bags can Captain America fill, and what is the remainder?","To find the number of bags Captain America can fill and the remainder, we first need to determine the total number of pins he has. 
He has 18 boxes and each box has 12 pins. 
To find the total number of pins, we multiply the number of boxes (18) by the number of pins per box (12).
18 x 12 = 216
This means Captain America has 216 pins in total.
To find the number of bags he can fill, we need to divide the total number of pins (216) by the number of pins per bag (4).
216 ÷ 4 = 54 with a remainder of 0
This means Captain America can fill 54 bags with no remaining pins.
The final answer is 54.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits",5,1,1,1,1,1
1272,Captain America has 93 boxes of superhero masks to pack into bags that hold 7 masks each. How many bags can Captain America fill with masks and how many masks will be left unpacked?,"To find the number of bags Captain America can fill with masks, we need to divide the total number of masks (93) by the number of masks each bag can hold (7).
93 / 7 = 13.29
Since we cannot have a fraction of a bag, Captain America can fill 13 bags completely.
To find the total number of masks used to fill these 13 bags, we multiply the number of bags (13) by the number of masks per bag (7).
13 x 7 = 91
Now, we subtract the total number of masks used (91) from the total number of masks Captain America has (93) to find the number of masks left unpacked.
93 - 91 = 2
The final answer is 2.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,1,1,1,1,1
1273,"Captain America has a shield with a special pattern of red and white stripes. The pattern starts with 3 red stripes, then 2 white stripes, then 3 red stripes, then 2 white stripes, and so on. If Captain America wants to add 5 more sets of the pattern to her shield, and each set has 3 red stripes and 2 white stripes, how many stripes will she have in total, and what will be the pattern of colors on her shield?","The pattern of the shield is 3 red stripes, then 2 white stripes. To find the total number of stripes in one set, we need to add the number of red stripes (3) to the number of white stripes (2).
3 + 2 = 5
This means each set has 5 stripes.
Captain America wants to add 5 more sets to her shield. To find the total number of stripes she will add, we need to multiply the number of sets (5) by the number of stripes per set (5).
5 x 5 = 25
This means she will add 25 stripes to her shield.
Since the pattern repeats every 5 stripes, the pattern of colors on her shield will still be 3 red stripes, then 2 white stripes, and so on.
The final answer is 25.","1. Identifying, describing, and/or extending patterns based on addition and subtraction of whole numbers",3,1,1,1,0,0
1274,"Captain America is arranging his superhero badges in a special pattern on his chest. He starts with 5 badges, then adds 2 more, then adds 2 more, and continues this pattern. If he already has 5 badges and adds 2 more each time, how many badges will Captain America have after 4 additions?","To find the total number of badges Captain America will have, we need to understand the pattern he is using. He starts with 5 badges and adds 2 more each time. 
After the first addition, he has 5 + 2 = 7 badges.
After the second addition, he has 7 + 2 = 9 badges.
After the third addition, he has 9 + 2 = 11 badges.
After the fourth addition, he has 11 + 2 = 13 badges.
This means Captain America will have 13 badges after 4 additions.
The final answer is 13.","1. Identifying, describing, and/or extending patterns based on addition and subtraction of whole numbers",3,1,1,1,1,1
1275,Captain America is building a new headquarters that is 14 meters long and 9 meters wide. What is the area and perimeter of the new headquarters?,"To find the area of the headquarters, we need to multiply the length by the width. 
The length of the headquarters is 14 meters and the width is 9 meters. 
So, we multiply 14 x 9 = 126. 
To find the perimeter, we need to add up the lengths of all its sides. 
The headquarters is 14 meters long and 9 meters wide, which means it has two sides that are 14 meters and two sides that are 9 meters. 
We add the lengths of all the sides together: 14 + 14 + 9 + 9 = 46. 
The area of the headquarters is 126 square meters and the perimeter is 46 meters.
The final answer is 126 square meters and 46 meters.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares",4,1,1,1,1,1
1276,Captain America is building a new secret headquarters that is 15 meters long and 8 meters wide. What is the area of the new secret headquarters?,"To find the area of the secret headquarters, we need to multiply the length by the width. 
The length of the headquarters is 15 meters and the width is 8 meters. 
So, we multiply 15 x 8 = 120.
The final answer is 120.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares",4,1,0,1,1,0
1277,"Captain America is designing a new shield with a rectangular shape. The shield will have a length of 6 feet and a width of 4 feet. What is the area of Captain America's new shield, and how can you justify that this is the correct area measurement for the shield?","To find the area of Captain America's new shield, we need to multiply the length and the width of the shield. 
The length of the shield is 6 feet and the width of the shield is 4 feet. 
So, we multiply 6 (length) by 4 (width) to get the area.
6 x 4 = 24
This means the area of Captain America's new shield is 24 square feet.
We can justify this measurement by counting the number of square units. Imagine the shield is divided into smaller squares, each 1 foot by 1 foot. 
By counting these squares, we can see that there are indeed 24 squares, which justifies that the area is 24 square feet.
The final answer is 24.",1. Determine area of a surface by counting the number of square units,3,1,1,1,1,1
1278,"Captain America is making superhero costumes for his friends. He needs 2.5 yards of fabric for each costume and he has 10.8 yards of fabric to use. If he also needs to add a $0.75 tax on the total cost of the fabric and the fabric costs $3.25 per yard, how many costumes can Captain America make and how much will he pay in total for the fabric, including tax?","To solve this problem, we first need to find the total cost of the fabric before tax. 
Captain America has 10.8 yards of fabric and the fabric costs $3.25 per yard.
We multiply the total yards of fabric by the cost per yard.
10.8 x $3.25 = $35.20
Now, we add the tax ($0.75) to the total cost of the fabric ($35.20).
$35.20 + $0.75 = $35.95
This means the total amount Captain America will pay for the fabric, including tax, is $35.95.
To find how many costumes Captain America can make, we need to divide the total yards of fabric (10.8) by the yards of fabric needed per costume (2.5).
10.8 ÷ 2.5 = 4.32
Since we cannot have a fraction of a costume, this means Captain America can make 4 full costumes with 2.5 yards of fabric each, and he will have some fabric left over.
However, the question asks how many costumes Captain America can make, implying that the costumes should be complete.
We consider the whole number part of 4.32, which is 4.
The final answer is 4.","1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Perimeter, area, and/or volume in standard units of measure",5,1,0,1,1,0
1279,"Captain America is preparing for a charity event and has 18 boxes of Captain America badges to sell. Each box contains 12 badges. If Captain America wants to put an equal number of badges in smaller bags to make them easier to carry, what is the greatest number of badges Captain America can put in each smaller bag?","To find the greatest number of badges Captain America can put in each smaller bag, we need to first find the greatest common divisor (GCD) of 18 and 12. 
The divisors of 18 are: 1, 2, 3, 6, 9, and 18. 
The divisors of 12 are: 1, 2, 3, 4, 6, and 12.
Now, we will find the greatest common divisor.
The greatest common divisor of 18 and 12 is 6.
This means Captain America can put 6 badges in each smaller bag.
The final answer is 6.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits",5,1,1,1,1,1
1280,"Captain America is preparing for a charity run and needs to ensure she has enough water to stay hydrated throughout the event. She has a 2-liter water bottle that she wants to fill with a machine that dispenses water in milliliters. If the machine can dispense 500 milliliters of water at a time, how many times will Captain America need to use the machine to fill her 2-liter water bottle, given that 1 liter is equal to 1000 milliliters?","To find out how many times Captain America needs to use the machine to fill her 2-liter water bottle, we first need to convert the volume of the bottle from liters to milliliters. 
Since 1 liter is equal to 1000 milliliters, we can convert 2 liters to milliliters by multiplying 2 by 1000. 
2 x 1000 = 2000 milliliters
This means Captain America's water bottle can hold 2000 milliliters of water. 
The machine can dispense 500 milliliters of water at a time. 
To find how many times Captain America needs to use the machine, we need to divide the total milliliters her bottle can hold (2000) by the milliliters the machine can dispense at a time (500). 
2000 / 500 = 4
The final answer is 4.","1. Determine equivalent measures within the metric system for length, mass, and/or liquid volume",5,1,1,1,1,1
1281,Captain America is preparing for a mission and needs to pack boxes of ammunition. He has 14 boxes to pack and each box can hold 8 packets of ammunition. How many packets of ammunition can Captain America pack in total?,"To find the total number of packets of ammunition Captain America can pack, we need to multiply the number of boxes (14) by the number of packets each box can hold (8).
14 x 8 = 112
This means Captain America can pack 112 packets of ammunition in total.
The final answer is 112.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor",4,1,1,1,0,0
1282,"Captain America is preparing for a parade and has 5 boxes of red, white, and blue ribbons to put on the floats. The boxes are arranged in a pattern: 3 red, 2 white, and 1 blue, and this pattern repeats. If Captain America wants to put the ribbons from the first 3 boxes on the floats, how many ribbons of each color will she have in total and what will be the next color of ribbons after the blue one in the pattern?","The pattern of the ribbons is 3 red, 2 white, and 1 blue. Since Captain America wants to put the ribbons from the first 3 boxes on the floats, we first need to determine how many boxes of each color she will have. 
Since the pattern is 3 red, 2 white, and 1 blue and this pattern repeats, the first 3 boxes will be 3 red, then 2 white, and then 1 blue. 
Captain America will have 3 red boxes, which means she will have 3 x 1 = 3 red ribbons since there is only one set of the pattern in the first 3 boxes.
After the blue box, the pattern repeats so the next color will be red.
However, the question only asks for the total number of red, white, and blue ribbons and the color after blue in the first 3 boxes. 
So, Captain America will have a total of 3 red ribbons, 2 white ribbons, and 1 blue ribbon.
The final answer is 3 red, 2 white, and 1 blue, and the next color of ribbons after blue is red.","1. Identifying, describing, and/or extending patterns based on addition and subtraction of whole numbers",3,0,0,0,0,0
1283,"Captain America is setting up a fence around the Captain America Memorial Garden, which is in the shape of a rectangle with a length of 15 meters and a width of 8 meters. What is the perimeter of the garden, and how many meters of fencing will Captain America need to put around the garden to keep it safe?","To find the perimeter of the Captain America Memorial Garden, we need to add up the lengths of all its sides. Since it is a rectangle, it has two lengths and two widths. 
The perimeter is the distance around the polygon, which in this case is the garden. 
To find the perimeter, we need to add the lengths of all sides, which are 15 meters, 15 meters, 8 meters, and 8 meters.
Perimeter = 15 + 15 + 8 + 8
First, we add the lengths: 15 + 15 = 30
Then, we add the widths: 8 + 8 = 16
Now, we add these two results: 30 + 16 = 46
This means the perimeter of the garden is 46 meters, and Captain America will need 46 meters of fencing to put around the garden.
The final answer is 46.",1. Perimeter of polygons with 6 or fewer sides,3,1,1,1,1,1
1284,Captain America was getting ready for a mission that would start at 9:45 a.m. and would last for 2 hours and 15 minutes. What time would the mission end?,"To find the time the mission would end, we need to add the starting time (9:45 a.m.) to the elapsed time (2 hours and 15 minutes). 
First, we add 2 hours to 9:45 a.m. 
9:45 a.m. + 2 hours = 11:45 a.m. 
Then, we add 15 minutes to 11:45 a.m. 
11:45 a.m. + 15 minutes = 12:00 p.m. 
The final answer is 12:00 p.m.",1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4,1,1,1,1,1
1285,Captain America was giving a speech at the annual superhero convention. The speech started at 9:00 a.m. and ended at 10:00 a.m. How many hours did Captain America spend giving the speech?,"To find the amount of time Captain America spent giving the speech, we need to subtract the starting time from the ending time.
The speech started at 9:00 a.m. and ended at 10:00 a.m.
Since the ending time (10:00 a.m.) is 1 hour after the starting time (9:00 a.m.), we can determine that Captain America spent 1 hour giving the speech.
The final answer is 1.",1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3,1,1,1,1,1
1286,"Captain Blackbeak and his crew found two chests of gold coins on a deserted island. The first chest contained $23.45 in gold coins, and the second chest contained $17.92 in gold coins. How much more money did they find in the first chest compared to the second chest?","To find out how much more money they found in the first chest compared to the second chest, we need to subtract the amount of money in the second chest ($17.92) from the amount of money in the first chest ($23.45).
$23.45 - $17.92 = $5.53
This means they found $5.53 more in the first chest compared to the second chest.
The final answer is 5.53.",1. Single-step and multistep addition and/or subtraction with decimals through the thousandths,4,1,1,1,1,1
1287,Captain Blackbeak and his crew of pirates found a treasure of $214.52 in gold coins. They also found another treasure of $145.87 in silver coins. How much more money did they find in gold coins than in silver coins?,"To find how much more money they found in gold coins than in silver coins, we first need to subtract the amount of money they found in silver coins ($145.87) from the amount of money they found in gold coins ($214.52).
$214.52 - $145.87 = $68.65
This means they found $68.65 more in gold coins than in silver coins.
The final answer is 68.65.",1. Single-step and multistep addition and/or subtraction with decimals through the thousandths,4,1,1,1,1,1
1288,"Captain Blackbeak and his pirate crew sailed the high seas for 3 hours, starting at 9:00 a.m. What time will it be when they finally drop anchor?","To find the time when Captain Blackbeak and his crew will drop anchor, we need to determine the ending time given the starting time and the amount of elapsed time in one-hour increments.
The starting time is 9:00 a.m. and the amount of elapsed time is 3 hours.
Since the elapsed time is in one-hour increments, we need to add 3 hours to the starting time.
9:00 a.m. + 3 hours = 12:00 p.m.
The final answer is 12:00 p.m.",1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3,1,1,1,1,1
1289,"Captain Blackbeak, a famous pirate, has been hiding his treasure in chests on a deserted island. He hid 15 gold coins in the first chest, 20 gold coins in the second chest, 25 gold coins in the third chest, and 30 gold coins in the fourth chest. If this pattern continues, how many gold coins will Captain Blackbeak hide in the fifth chest?","To find the number of gold coins Captain Blackbeak will hide in the fifth chest, we first need to identify the pattern of the number of gold coins hidden in each chest.
The pattern is: 15, 20, 25, 30.
Let's look at the differences between the number of gold coins in each chest:
- Between the first and second chest: 20 - 15 = 5
- Between the second and third chest: 25 - 20 = 5
- Between the third and fourth chest: 30 - 25 = 5
We can see that the number of gold coins is increasing by 5 each time.
Since the pattern is to add 5 gold coins to the previous chest to get the number of gold coins for the next chest, 
we can find the number of gold coins in the fifth chest by adding 5 to the number of gold coins in the fourth chest.
The number of gold coins in the fourth chest is 30. 
30 + 5 = 35
So, Captain Blackbeak will hide 35 gold coins in the fifth chest.
The final answer is 35.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,1,1,1,1,1
1290,"Captain Blackbeak, a pirate, has $4.50 in his treasure chest. He wants to buy a new eye patch that costs $2.75. How much change will Captain Blackbeak get after buying the eye patch?","Captain Blackbeak has $4.50 and wants to buy an eye patch for $2.75. 
To find the change he will get, we need to subtract the cost of the eye patch ($2.75) from the amount he has ($4.50). 
First, we can convert $4.50 to 450 cents and $2.75 to 275 cents to make the subtraction easier.
$4.50 = 450 cents
$2.75 = 275 cents
Now, we subtract 275 cents from 450 cents.
450 - 275 = 175
This means Captain Blackbeak will get 175 cents in change, which is $1.75.
The final answer is $1.75.",1. Make change from $5.00 or less,3,1,1,1,1,1
1291,"Captain Jack and his pirate crew found a treasure chest filled with gold coins. They want to divide the treasure among themselves. The chest contains 2500 grams of gold coins. If they want to put an equal amount of gold into 5 smaller chests, and each smaller chest can hold 5 kilograms of gold, will they have any gold left over after filling the chests?","To find out if Captain Jack and his crew will have any gold left over, we first need to convert the capacity of each smaller chest from kilograms to grams, since the total amount of gold is given in grams. 
We know that 1 kilogram is equal to 1000 grams. 
So, the capacity of each smaller chest in grams is 5 kilograms x 1000 grams/kilogram = 5000 grams. 
Since there are 5 smaller chests, the total capacity of all the chests is 5 x 5000 grams = 2500 grams. 
The total amount of gold is also 2500 grams, which is equal to the total capacity of the 5 smaller chests. 
This means they will exactly fill the chests with no remaining gold. 
To confirm, we can divide the total amount of gold (2500 grams) by the capacity of each chest (5000 grams) to see how many chests they can fill and if there will be any remainder. 
2500 grams / 5000 grams = 0 with a remainder of 0 grams, but since we have 5 chests, we should divide 2500 by 5.
2500 / 5 = 500, and 500 x 5 = 2500 
There will be no gold left over after filling the chests.
The final answer is 0.","1. Determine equivalent measures within the metric system for length, mass, and/or liquid volume",5,1,1,1,1,1
1292,"Captain Jack, a pirate, bought a treasure map for $2.50. He paid with a $5.00 bill. How much change will Captain Jack get back?","To find the change Captain Jack will get back, we need to subtract the cost of the treasure map ($2.50) from the $5.00 bill he paid with.
We can count back from $5.00 to find the change: $5.00, $4.50, $4.00, $3.50, $3.00, $2.50 (the cost of the map). 
To find the change, we need to subtract $2.50 from $5.00.
$5.00 - $2.50 = $2.50
This means Captain Jack will get $2.50 in change.
The final answer is 2.50.",1. Make change from $5.00 or less,3,1,1,1,1,1
